SRC,MISSION_TIME,SS_TIME,ID,mem_total,mem_used,mem_free,disk_total,disk_free,disk_usable,cpu_temp
SWCDH,2018-08-26 03:00:00.254,,CDH_HW0,862,841,20,0,0,0,46.50
SWCDH,2018-08-26 03:00:10.282,,CDH_HW0,862,841,20,0,0,0,46.00
SWCDH,2018-08-26 03:00:20.291,,CDH_HW0,862,842,19,0,0,0,45.50
SWCDH,2018-08-26 03:00:39.662,,CDH_HW0,862,842,19,0,0,0,46.50
SWCDH,2018-08-26 03:00:49.686,,CDH_HW0,862,843,18,0,0,0,46.00
SWCDH,2018-08-26 03:00:59.737,,CDH_HW0,862,843,18,0,0,0,45.50
SWCDH,2018-08-26 03:01:09.775,,CDH_HW0,862,843,18,0,0,0,45.50
SWCDH,2018-08-26 03:01:19.812,,CDH_HW0,862,843,18,0,0,0,45.50
SWCDH,2018-08-26 03:01:29.842,,CDH_HW0,862,843,18,0,0,0,45.50
SWCDH,2018-08-26 03:01:39.900,,CDH_HW0,862,843,18,0,0,0,45.50
SWCDH,2018-08-26 03:01:49.929,,CDH_HW0,862,843,18,0,0,0,44.90
SWCDH,2018-08-26 03:01:59.966,,CDH_HW0,862,843,18,0,0,0,45.50
SWCDH,2018-08-26 03:02:09.989,,CDH_HW0,862,843,18,0,0,0,45.50
SWCDH,2018-08-26 03:02:19.993,,CDH_HW0,862,843,18,0,0,0,45.50
SWCDH,2018-08-26 03:02:49.741,,CDH_HW0,862,845,16,0,0,0,45.50
SWCDH,2018-08-26 03:02:59.780,,CDH_HW0,862,847,14,0,0,0,45.50
SWCDH,2018-08-26 03:03:09.791,,CDH_HW0,862,847,14,0,0,0,45.50
SWCDH,2018-08-26 03:03:19.881,,CDH_HW0,862,847,14,0,0,0,45.50
SWCDH,2018-08-26 03:03:29.901,,CDH_HW0,862,847,14,0,0,0,45.50
SWCDH,2018-08-26 03:03:39.936,,CDH_HW0,862,847,14,0,0,0,45.50
SWCDH,2018-08-26 03:03:49.977,,CDH_HW0,862,847,14,0,0,0,46.00
SWCDH,2018-08-26 03:04:00.009,,CDH_HW0,862,847,14,0,0,0,46.50
SWCDH,2018-08-26 03:04:10.010,,CDH_HW0,862,847,14,0,0,0,45.50
SWCDH,2018-08-26 03:04:20.013,,CDH_HW0,862,847,14,0,0,0,45.50
SWCDH,2018-08-26 03:04:39.680,,CDH_HW0,862,845,16,0,0,0,46.50
SWCDH,2018-08-26 03:04:49.694,,CDH_HW0,862,846,15,0,0,0,46.00
SWCDH,2018-08-26 03:04:59.722,,CDH_HW0,862,846,15,0,0,0,45.50
SWCDH,2018-08-26 03:05:09.723,,CDH_HW0,862,846,15,0,0,0,45.50
SWCDH,2018-08-26 03:05:19.768,,CDH_HW0,862,846,15,0,0,0,45.50
SWCDH,2018-08-26 03:05:29.785,,CDH_HW0,862,846,15,0,0,0,45.50
SWCDH,2018-08-26 03:05:39.799,,CDH_HW0,862,846,15,0,0,0,46.00
SWCDH,2018-08-26 03:05:49.817,,CDH_HW0,862,846,15,0,0,0,45.50
SWCDH,2018-08-26 03:06:00.004,,CDH_HW0,862,846,15,0,0,0,45.50
SWCDH,2018-08-26 03:06:10.010,,CDH_HW0,862,846,15,0,0,0,45.50
SWCDH,2018-08-26 03:06:20.026,,CDH_HW0,862,846,15,0,0,0,45.50
SWCDH,2018-08-26 03:06:30.044,,CDH_HW0,862,846,15,0,0,0,45.50
SWCDH,2018-08-26 03:06:40.075,,CDH_HW0,862,846,15,0,0,0,45.50
SWCDH,2018-08-26 03:06:50.134,,CDH_HW0,862,846,15,0,0,0,45.50
SWCDH,2018-08-26 03:07:00.140,,CDH_HW0,862,846,15,0,0,0,45.50
SWCDH,2018-08-26 03:07:10.145,,CDH_HW0,862,846,15,0,0,0,45.50
SWCDH,2018-08-26 03:07:20.167,,CDH_HW0,862,846,15,0,0,0,45.50
SWCDH,2018-08-26 03:07:30.171,,CDH_HW0,862,846,15,0,0,0,46.00
