SRC,MISSION_TIME,SS_TIME,ID,INTERN_TEMP,EXTERN_TEMP,RELAT_HUMID,EXTERN_PRESS,DEW_POINT,SHOCK_X,SHOCK_Y,SHOCK_Z
SW_EM,2018-08-26 03:00:03.269,2018-08-26 03-00-03,EM0,39.25,18.68,0.69,979.50,-42.74,0.00,0.00,0.00
SW_EM,2018-08-26 03:00:08.301,2018-08-26 03-00-08,EM0,39.31,18.69,0.79,979.50,-41.39,0.00,0.00,0.00
SW_EM,2018-08-26 03:00:13.296,2018-08-26 03-00-13,EM0,39.25,18.69,1.05,979.50,-38.61,0.00,0.00,0.00
SW_EM,2018-08-26 03:00:18.272,2018-08-26 03-00-18,EM0,39.31,18.69,1.10,979.52,-38.09,0.00,0.00,0.00
SW_EM,2018-08-26 03:00:23.322,2018-08-26 03-00-23,EM0,39.31,18.69,1.15,979.49,-37.69,0.00,0.00,0.00
SW_EM,2018-08-26 03:00:28.340,2018-08-26 03-00-28,EM0,39.25,18.69,0.90,979.52,-40.09,0.00,0.00,0.00
SW_EM,2018-08-26 03:00:39.662,2018-08-26 03-00-33,EM0,39.31,18.69,0.79,979.49,-41.39,0.00,0.00,0.00
SW_EM,2018-08-26 03:00:40.512,2018-08-26 03-00-38,EM0,39.31,18.69,0.92,979.52,-39.85,0.00,0.00,0.00
SW_EM,2018-08-26 03:00:43.346,2018-08-26 03-00-43,EM0,39.31,18.69,1.00,979.48,-39.05,0.00,0.00,0.00
SW_EM,2018-08-26 03:00:48.387,2018-08-26 03-00-48,EM0,39.25,18.69,1.12,979.50,-37.89,0.00,0.00,0.00
SW_EM,2018-08-26 03:00:53.430,2018-08-26 03-00-53,EM0,39.25,18.69,1.07,979.51,-38.40,0.00,0.00,0.00
SW_EM,2018-08-26 03:00:58.443,2018-08-26 03-00-58,EM0,39.31,18.69,0.98,979.50,-39.27,0.00,0.00,0.00
SW_EM,2018-08-26 03:01:03.465,2018-08-26 03-01-03,EM0,39.25,18.69,1.00,979.48,-39.05,0.00,0.00,0.00
SW_EM,2018-08-26 03:01:08.469,2018-08-26 03-01-08,EM0,39.25,18.69,1.07,979.50,-38.40,0.00,0.00,0.00
SW_EM,2018-08-26 03:01:13.486,2018-08-26 03-01-13,EM0,39.25,18.69,1.08,979.49,-38.30,0.00,0.00,0.00
SW_EM,2018-08-26 03:01:18.511,2018-08-26 03-01-18,EM0,39.31,18.70,1.31,979.52,-36.31,0.00,0.00,0.00
SW_EM,2018-08-26 03:01:23.520,2018-08-26 03-01-23,EM0,39.31,18.70,1.30,979.50,-36.39,0.00,0.00,0.00
